Species,Date,Location,Notes
RED-THROATED LOON,12/19/1992,Cape Henlopen State Park
PACIFIC LOON,6/3/1994,"Cape Merry, Churchill, Manitoba"
COMMON LOON,4/14/1990,"Lake at Erieville, NY"
LEAST GREBE,12/28/1994,Sabal Palm Audubon Sanctuary
PIED-BILLED GREBE,10/14/1990,Chinc NWR
HORNED GREBE,12/15/1990,Chinc NWR
RED-NECKED GREBE,2/19/1994,Ocean City
EARED GREBE,12/25/1990,White Rock Lake
WESTERN GREBE,5/9/1993,Barr Lake (NE of Denver)
NORTHERN FULMAR,4/25/1992,Atlantic Ocean aboard OC Queen
SOOTY SHEARWATER,4/25/1992,Atlantic Ocean aboard OC Queen
MANX SHEARWATER,5/15/1990,Stellwagen Bank off Cape Cod
WILSON'S STORM-PETREL,4/25/1992,Atlantic Ocean aboard OC Queen
NORTHERN GANNET,5/15/1990,Stellwagen Bank off Cape Cod
AMERICAN WHITE PELICAN,10/14/1990,Chincoteague NWR
BROWN PELICAN,10/10/1988,Assateague NWR
GREAT CORMORANT,12/19/1992,Indian River Inlet
DOUBLE-CRESTED CORMORANT,11/19/1989,Blackwater NWR
NEOTROPIC CORMORANT,12/31/1994,Falcon Dam
ANHINGA,4/27/1992,"J. N. ""Ding"" Darling NWR"
MAGNIFICENT FRIGATEBIRD,4/26/1992,Sanibel Island
AMERICAN BITTERN,6/9/1994,"Landing Lake Rd, Churchill, Manitoba"
LEAST BITTERN,7/26/1992,Bombay Hook NWR
GREAT BLUE HERON,1/1/1987,Everywhere
GREAT EGRET,6/4/1984,"Dallas, TX"
SNOWY EGRET,6/6/1986,"Fairfield, CT"
LITTLE BLUE HERON,10/11/1988,Assateague NWR
TRICOLORED HERON,5/5/1991,Brigantine NWR 
REDDISH EGRET,12/28/1994,Laguna Atascosa 
CATTLE EGRET,6/4/1984,"Dallas, TX"
GREEN HERON,5/27/1990,Blackwater NWR
BLACK-CROWNED NIGHT-HERON,8/12/1990,Bombay Hook NWR
YELLOW-CROWNED NIGHT-HERON,7/15/1990,Robert E. Lee Park
WHITE IBIS,4/27/1992,"J. N. ""Ding"" Darling NWR"
GLOSSY IBIS,9/21/1986,"Orlando, FL"
ROSEATE SPOONBILL,4/27/1992,"J. N. ""Ding"" Darling NWR"
WOOD STORK,4/28/1992,Corkscrew Swamp 
BLACK-BELLIED WHISTLING-DUCK,12/28/1994,"Brownsville Dump, Brownsville, TX "
TUNDRA SWAN,11/19/1989,Blackwater NWR
MUTE SWAN,6/14/1986,Various
GREATER WHITE-FRONTED GOOSE,12/31/1992,Hagerman NWR
SNOW GOOSE,10/10/1992,Bombay Hook NWR
ROSS'S GOOSE,10/15/1994,Bombay Hook NWR
"BRANT
",5/5/1991,Blackwater NWR
CANADA GOOSE,4/15/1973,Burke Lake Park 
WOOD DUCK,5/15/1990,Blackwater NWR
GREEN-WINGED TEAL,11/19/1989,Blackwater NWR
AMERICAN BLACK DUCK,10/22/1989,Graysonville
MOTTLED DUCK,4/27/1992,"J. N. ""Ding"" Darling NWR"
MALLARD,8/15/1972,Burke Lake Park
NORTHERN PINTAIL,9/17/1989,Blackwater NWR
BLUE-WINGED TEAL,5/5/1991,Brigantine NWR
CINNAMON TEAL,5/9/1993,Barr Lake (NE of Denver)
NORTHERN SHOVELER,1/25/1992,Bombay Hook NWR
GADWALL,12/27/1990,Lake Hubbard
EURASIAN WIGEON,12/28/1994,Laguna Atascosa
AMERICAN WIGEON,10/14/1990,Chincoteague NWR
CANVASBACK,12/22/1991,Harbor Hospital
REDHEAD,2/10/1991,Loch Raven Reservoir
RING-NECKED DUCK,1/1/1991,Loch Raven Reservoir
TUFTED DUCK,3/28/1992,"Grass Isand, Greenwich, CT"
GREATER SCAUP,1/15/1977,Annapolis Harbor
LESSER SCAUP,1/15/1977,Annapolis Harbor
COMMON EIDER,5/15/1990,"Coast Guard Beach, Eastham, MA"
HARLEQUIN DUCK,12/19/1992,Ocean City Jetty
LONG-TAILED DUCK,5/15/1990,"Coast Guard Beach, Eastham, MA"
BLACK SCOTER,10/10/1993,Ocean City
SURF SCOTER,10/21/1991,"Cape May Meadows, Cape May, NJ"
WHITE-WINGED SCOTER,1/17/1993,"Swann Park, Baltimore, MD"
COMMON GOLDENEYE,3/12/1985,Staten Island Ferry Terminal
BUFFLEHEAD,2/11/1990,Bombay Hook NWR
HOODED MERGANSER,2/9/1991,Loch Raven Reservoir
COMMON MERGANSER,2/11/1990,Bombay Hook NWR
